Name,Address,City,State,ZIP_Code,URL,Phone
"Montgomery County TN ReStore, HFH of",404 Madison St,Clarksville,US-TN,37040,www.clarksvillerestore.org,(931) 645-4242
"Jefferson County, MO HFH ReStore",207 North Truman Blvd,Crystal City,US-MO,63019,www.habitatjeffcomo.org/restore.html,(636) 937-7282
Lake of the Ozarks HFH ReStore,308 Keystone Business Dr,Camdenton,US-MO,65020,www.lakeoftheozarkshabitatforhumanity.org/resalest,(573) 317-0470
"Tulsa HFH, Inc. ReStore Rack",1112 S Memorial Dr.,Tulsa,US-OK,74112,https://www.tulsahabitat.com/restore,(918) 359-5555
Tulsa HFH ReStore,1234 S Norwood,Tulsa,US-OK,74112,www.tulsahabitat.org,(918) 359-5555
St. Louis HFH Restore,3830 South Grand Blvd,St. Louis,US-MO,63118,www.habitatstl.org/restore,(314) 531-4155
"Tucson HabiStore, HFH",935 W Grant Rd,Tucson,US-AZ,85705,www.habitattucson.org/habistore,(520) 889-7200
"Central Arizona ReStore-Tempe, HFH",3210 S McClintock Dr,Tempe,US-AZ,85282,https://habitatcaz.org/restores,(623) 551-6000
"Central Arizona ReStore-Phoenix, HFH",115 East Watkins,Phoenix,US-AZ,85004,www.habitatcaz.org/restore/index.php,(623) 551-6000
"Central Arizona ReStore- West Phoenix, HFH",4344 W Indian School Rd,Phoenix,US-AZ,85031,www.habitatcaz.org/restore,(623) 551-6000
Wickenburg Area HFH Restore,370 W Ctr St,Wickenburg,US-AZ,85390,www.wickenburghabitatforhumanity.com,(928) 684-2220
"Flagstaff ReStore, HFH of",2016 N 4th St,Flagstaff,US-AZ,86003,https://hfhnaz.org,(928) 779-1314
Payson Area HFH ReStore,425 N. Beeline Hwy,Payson,US-AZ,85541,www.paysonhabitat.org,(928) 474-4247
"Montezuma County ReStore, HFH",6786 Highway 491/160,Cortez,US-CO,81321,habitatmontezuma.org/sales-center,(970) 565-8327
Prescott Area HFH Restore,1061 Commerce Dr,Prescott,US-AZ,86305,www.prescotthabitat.org/ReStore.html,(928) 771-1777
Verde Valley HFH ReStore,737 S Main St,Cottonwood,US-AZ,86326,www.vvhabitat.org,(928) 649-6788
"La Plata Co Restore, HFH of",50 Design Center Road,Durango,US-CO,81301,www.habitatlaplata.org/restore,(970) 382-9931
"Montrose County ReStore, HFH of",1601 N Townsend Ave,Montrose,US-CO,81401,https://buildinglives.org/give-get,(970) 252-9304
"Southwest Utah ReStore, HFH of",835 S Bluff St,George,US-UT,84770,www.habitatswu.org/restore,(435) 628-4041
"Mesa County ReStore, HFH of",2936 N Ave,Grand Junction,US-CO,81504,www.habitatmesa.org,(970) 263-0858
Mesilla Valley HFH Restore,2301 S Main St,Las Cruces,US-NM,88005,www.lascruceshabitat.org,(575) 523-5019
"El Paso, HFH of - ReStore",1220 Rojas Dr B-6,El Paso,US-TX,79935,https://www.habitatelpaso.org/restore-temp,(915) 706-5060
"Las Vegas ReStore- East, HFH",3455 E Flamingo Rd,Las Vegas,US-NV,89121,https://www.lasvegashabitat.org/restore,(702) 458-1640
Las Vegas ReStore- Boulevard Mall; HFH,3700 S Maryland Parkway,Las Vegas,US-NV,89119,www.lasvegashabitat.org,(702) 638-8406
Las Vegas ReStore- West; HFH,"4580 W Sahara Ave, Ste 120",Las Vegas,US-NV,89102,www.lasvegashabitat.org,(702) 638-6477
"Habitat Restore of Yuma, AZ",3242 E 43rd St,Yuma,US-AZ,85365,www.yumahabitat.org/items-donate,(928) 344-5788
"Coachella Valley ReStore, HFH of",72680 Dinah Shore Dr #6,Palm Desert,US-CA,92211,hfhcv.org/restore.html,(760) 770-3723
"San Bernardino Area ReStore, HFH",25948 Business Ctr Dr,Redlands,US-CA,92374,www.habitatsb.org,(909) 799-6738
Otero County HFH ReStore,1109 Tenth St,Alamogordo,US-NM,88310,www.whitesandshabitat.org,(575) 437-0160
San Diego HFH - National City ReStore,310 National City Blvd.,National City,US-CA,91950,sandiegohabitat.org,(619) 516-5267
San Diego HFH - Kearny Mesa ReStore,8108 Mercury Court,San Diego,US-CA,92111,sandiegohabitat.org,(619) 516-5267
San Diego HFH - Escondido ReStore,837 Metcalf st,Escondido,US-CA,92025,sandiegohabitat.org,(619) 516-5267
"Espanola Vly,Los Alamos ReStore 2, HFH",518 W Pueblo,Espanola,US-NM,87532,www.habitatevla.org/restore.htm,(505) 747-2690
"Espanola Vly/Los Alamos ReStore, HFH",726 N Riverside Dr,Espanola,US-NM,87532,www.habitatevla.org/restore.htm,(505) 747-2690
"Riverside ReStore, HFH",2180 Iowa Ave,Riverside,US-CA,92507-2441,www.RiversideRestore.org,(951) 787-6754
Inland Valley HFH ReStore-Lake Elsinore,570-I Central Ave,Lake Elsinore,US-CA,92530,www.habitativ.org/restore,(951) 471-1188
"Los Angeles ReStore- Bellflower, HFH of",8739 Artesia Blvd,Bellflower,US-CA,90706,www.habitatla.org/restore,(310) 323-4663
"Los Angeles ReStore- Torrance, HFH of Greater",18600 Crenshaw Blvd.,Torrance,US-CA,90504,www.habitatla.org/restore,(310) 818-5222
"Orange County ReStore- Anaheim, HFH of",1656 West Katella Avenue,Anaheim,US-CA,92802,www.ReStoreOC.org,(714) 434-6266
"Orange County ReStore-Santa Ana, HFH of",2140 Ritchey Street,Santa Ana,US-CA,92705,www.restoreoc.org,(714) 434-6266
Atwater Village ReStore,5201 West San Fernando Road,Los Angeles,US-CA,90039,www.sgvhabitat.org/about-restores,(626) 387-6900
"Los Angeles ReStore- Mid-Wilshire, HFH of Greater",1071 South La Brea Ave,Los Angeles,US-CA,90019,www.habitatla.org/restore,(323) 421-3700
San Gabriel Valley HFH ReStore- Duarte,2215 Huntington Dr.,Duarte,US-CA,91010,www.sgvhabitat.org/about-restores,(626) 387-6900
Pomona Valley HFH ReStore,4609 Holt Blvd,Montclair,US-CA,91763,www.habitatpv.org/restore.htm,(909) 399-0202
Simi Valley ReStore HFH,1293-A E Los Angeles Ave,Simi Valley,US-CA,93065,www.habitatventura.org,(805) 520-7717
"San Jose ReStore, HFH",1608 Las Plumas Ave,San Jose,US-CA,95133,restore.habitatebsv.org,(800) 746-7090
"Tulare County ReStore, HFH of",637 S Lovers Ln,Visalia,US-CA,93292,www.hfhtkc.org/restore,(559) 734-4056
"Fresno County, HFH ReStore",1631 Railroad Ave,Clovis,US-CA,93612,www.restorefresno.org,(559) 237-7867
HFH of Tulare/Kings Counties ReStore- Hanford,415 W Lacey Blvd.,Hanford,US-CA,93230,www.hfhtkc.org/restore,(559) 772-4032
"Fresno County, HFH ReStore - West",4065 W. Shaw Avenue,Fresno,US-CA,93722,www.habitatfresno.org/restore,(559) 380-0140
"Golden Empire ReStore, HFH - White Lane",5101 White Lane Suite #F,Bakersfield,US-CA,93309,Restorebakersfield.org,(661) 282-8090
"Tuolumne County ReStore, HFH of",14301 Mono Way,Sonora,US-CA,95370,www.habitattuolumne.org/the-restore,(209) 533-9080
"Calaveras, HFH ReStore",770A Industrial Blvd,San Andreas,US-CA,95249,www.habitatcalaveras.org/restore,(209) 754-3234
"San Joaquin County ReStore, HFH of",4933 West Lane,Stockton,US-CA,95203,www.sjchabitat.org,(209) 463-1043
Sacramento HFH Restore,819 N 10th St,Sacramento,US-CA,95811,habitatgreatersac.org/restore/sacrestore,(916) 440-1215
El Dorado County Restore,6168 Pleasant Vly Rd,El Dorado,US-CA,95623,www.edchabitat.org/restore,(530) 621-3317
"Stanislaus Co. Restore-Kearney, HFH",630 Kearney Ave,Modesto,US-CA,95350,www.stanislaushabitat.org,(209) 575-4585
Foothills HFH ReStore,8292 Industrial Ave,Roseville,US-CA,95678,www.foothillshabitat.org,(916) 797-8673
"Concord ReStore, HFH","1500 Monument Blvd, Ste G-2",Concord,US-CA,94520,restore.habitatebsv.org,(800) 746-7090
Solano-Napa ReStore HFH,104 Commerce Ct,Fairfield,US-CA,94534,www.solanonapahabitat.org/restore,(707) 863-0692
"Oakland ReStore, HFH",9235 San Leandro St,Oakland,US-CA,94603,restore.habitatebsv.org,(800) 746-7090
"Ventura County ReStore, HFH of",1850 Eastman Ave,Oxnard,US-CA,93030,www.habitatventura.org,(805) 981-2268
"San Luis Obispo Co ReStore-Templeton, HFH for",2959 Limestone Way,Paso Robles,US-CA,93446,www.hfhsloco.org,(805) 434-0486
"San Luis Obispo Co ReStore, HFH for",187 Tank Farm Rd #130A,San Luis Obispo,US-CA,93401,www.hfhsloco.org,(805) 546-8699
"Northern Santa Barbara Co ReStore, HFH",2053 Preisker Ln Ste B & C,Santa Maria,US-CA,93454,www.nsbhabitat.com,(805) 928-5399
"Monterey Bay, HFH - Monterey ReStore",4230 Gigling Road,Seaside,US-CA,93955,habitatmontereybay.org/restore,(831) 272-4830
"Butte Co ReStore, HFH of",220 Meyers St,Chico,US-CA,95928,www.buttehabitat.org/page/re-store.php,(530) 895-1271
Truckee Meadows HFH ReStore,530 Greenbrae Drive,Sparks,US-NV,89431,habitatforhumanityreno.org/restore.html,(775) 323-5511
"Yuba/Sutter ReStore, HFH",202 D Street,Marysville,US-CA,95901,www.yubasutterhabitat.org/restore,(530) 742-2727
Nevada County HFH ReStore,12359 Loma Rica Dr,Grass Valley,US-CA,95945,https://nchabitat.org/habitat-restore,(530) 274-3761
"Sonoma County ReStore, HFH of",1201 Piner Rd #500,Santa Rosa,US-CA,95403,www.habitatsoco.org/restore,(707) 568-3228
San Diego HFH - Carlsbad ReStore,1810 Marron Road,Carlsbad,US-CA,92008,https://www.sandiegohabitat.org/ReStore/About-the-ReStore,(619) 516-5267
La Pine Sunriver HFH ReStore,52684 N Highway 97,La Pine,US-OR,97739,www.habitatlapinesunriver.org,(541) 536-3234
"Metro Denver ReStore- Aurora, HFH of","1640 S Abilene St, Unit H",Aurora,US-CO,80012,https://www.habitatmetrodenver.org/restore,(720) 904-6739
Metro Denver ReStore- Denver; HFH of,70 Rio Grande Blvd,Denver,US-CO,80223,www.HabitatDenverReStore.org,(303) 722-5863
Flatirons HFH ReStore,"1 Park St, Ste B",Broomfield,US-CO,80020,www.flatironshabitat.org/restore,(303) 404-2008
Metro Denver ReStore- Wheat Ridge; HFH of,10625 W I-70 Frontage Rd,Wheat Ridge,US-CO,80033,https://www.habitatmetrodenver.org/restore,(303) 421-1908
"Taos Restore, HFH of",16 State Rd 522,Taos,US-NM,87529,www.taoshabitat.org/restore/index.php,(575) 776-2165
"Fremont County ReStore, HFH of",727 S 8th St,Canon City,US-CO,81212,www.habitatfremontcounty.org,(719) 275-1787
Pikes Peak HFH Restore,411 S Wahsatch Ave,Colorado Springs,US-CO,80903,www.pikespeakhabitat.org/restore,(719) 667-0840
Greeley Area HFH ReStore,2400 29th St,Greeley,US-CO,80631,www.greeleyrestore.org,(970) 352-1404
Berthoud HFH ReStore,157 Mountain Ave,Berthoud,US-CO,80513,www.berthoudhabitat.org,(970) 532-2870
"St. Vrain Valley ReStore, HFH of the",1351 Sherman Dr,Longmont,US-CO,80501,www.stvrainhabitat.org/restore,(303) 776-3334
Loveland HFH ReStore,5250 N Highway 287,Loveland,US-CO,80538,https://www.lovelandhabitat.org,(970) 669-7343
Santa Fe HFH ReStore,2520 Camino Entrada Unit A,Sante Fe,US-NM,87507,www.santaferestore.org,(505) 473-1114
Chaffee County HFH ReStore,101 Gregg Dr,Buena Vista,US-CO,81211,www.chaffeehabitat-restore.org,(719) 966-6004
"Summit ReStore, Colorado, HFH of",1291 Blue River Pkwy,Silverthorne,US-CO,80498,www.summithabitat.org,(970) 423-7445
"Vail Valley ReStore, HFH",751 Chambers Ave,Eagle,US-CO,81631,www.habitatvailvalley.org,(970) 328-1119
Blue Spruce HFH  Restore,1232 Bergen Pkwy,Evergreen,US-CO,80439,www.bluesprucerestore.org,(303) 674-4917
"Roaring Fork Valley ReStore, HFH of the",53 Calaway Court,Glenwood Springs,US-CO,81601,www.habitatroaringfork.org/restore,(970) 945-9138
"Laramie County ReStore, HFH of",1721 Ames Ave,Cheyenne,US-WY,82001,www.cheyennehabitat.org/ReStore,(307) 637-8067
"Utah County ReStore- Spanish Fork, HFH",253 West Arrowhead Trl,Spanish Fork,US-UT,84660,www.habitatuc.org,(801) 877-0202
"Summit & Wasatch Counties, UT ReStore; HFH of",6280 Silver Creek Drive,Park City,US-UT,84098,www.habitat-utah.org/restore,(435) 487-9015
"Utah County ReStore- Orem, HFH Of",340 S Orem Blvd,Orem,US-UT,84058,www.habitatuc.org,(801) 344-8527
Salt Lake Valley HFH ReStore,1276 S 500 W,Salt Lake City,US-UT,84101,www.habitatsaltlake.com,(801) 263-0136
"Weber and Davis Counties ReStore-Layton, HFH of",859 W Hill Field Rd.,Layton,US-UT,84041,https://davisrestore.org,(801) 515-7590
Wind River Country ReStore; HFH of,305 E Main St,Riverton,US-WY,82501,www.WindRiverHabitat.org,(307) 857-6430
Amarillo HFH ReStore 1,2626 Paramount Blvd,Amarillo,US-TX,79109,https://www.amarillohabitat.org,(806) 373-1185
"Northern Virginia Restore-Alexandria, HFH",869 South Pickett St,Alexandria,US-VA,22304,https://www.habitatnova.org/restore,(703) 670-6700
"Northern Virginia ReStore-Chantilly, HFH of",4311 Walney Rd,Chantilly,US-VA,20151,https://www.habitatnova.org/restore,(703) 953-3747
"Northern Virginia Restore-Herndon, HFH",311 Spring Street,Herndon,US-VA,20170,https://www.habitatnova.org/restore,(571) 306-0908
Habitat for Humanity ReStore - Manassas,10159 Hastings Drive,Manassas,US-VA,20110,www.habitatpwc.org/restore,(703) 369-6145
Loudoun HFH ReStore,700 Fieldstone Drive,Leesburg,US-VA,20176,www.loudounrestore.org,(571) 919-6330
Metro Maryland ReStore,1029 East Gude Drive,Rockville,US-MD,20850,habitatmm.org/furniture-donations,(301) 947-3304
Prince William County HFH ReStore - Woodbridge,14055 Noblewood Plaza,Woodbridge,US-VA,22193,habitatpwc.org/programs/restore,(703) 369-6145
Fauquier HFH Restore,617 Frost Ave,Warrenton,US-VA,20186,www.fauquierhabitatrestore.org,(540) 216-3447
ReStore NCC Wilmington DE,3312 Seminole Ave,Wilmington,US-DE,19808,www.habitatncc.org/restore,(302) 652-5181
Salem County ReStore HFH,416 S Pennsville-Auburn Rd,Carneys Point,US-NJ,08069,habitatsalem.org,(856) 299-0031
"Chester County ReStore, HFH of",1853 E Lincoln Highway,Coatesville,US-PA,19320,www.restorechesco.org,(610) 466-7364
"Philadelphia ReStore, HFH",2318 Washington Avenue,Philadelphia,US-PA,19146,www.habitatphiladelphia.org/restore,(215) 739-9300
Gloucester County HFH ReStore,425 S Broadway,Pitman,US-NJ,08071,www.gc-habitat.org,(856) 256-2004
Camden County Habitat ReStore,6955 Central Highway,Pennsauken,US-NJ,08109,www.habitatcamden.org/restore,(856) 963-8018
"Montgomery County PA ReStore, HFH of",533 Foundry Rd,Norristown,US-PA,19403,habitatmontdelco.org,(610) 631-3149
"New Castle County ReStore - Middletown, HFH of",600 N. Broad Street,Middletown,US-DE,19709,www.habitatncc.org/restore,(302) 449-1414
"Burlington and Mercer Co. ReStore, HFH of",530 East Route 38,Maple Shade,US-NJ,08052,www.habitatbcnj.org/restore,(856) 439-6717
"Montgomery County PA ReStore - Horsham, HFH of",200 Blair Mill Rd,Horsham,US-PA,19044,habitatmontdelco.org/restore/the-restore,(215) 394-8270
Aberdeen ReStore,1013 Beards Hill Rd,Aberdeen,US-MD,21001,www.habitatsusq.org/restore,(443) 567-7698
Lancaster Area HFH ReStore,155 Independence Ct,Lancaster,US-PA,17601,lancasterlebanonhabitat.org/lancrestore,(717) 293-0250
Central Delaware HFH ReStore,2311 South DuPont Hwy,Dover,US-DE,19901,centraldelawarehabitat.org/restore,(302) 346-0220
Sussex County HFH - Lewes ReStore,18501 Stamper Drive,Lewes,US-DE,19958,https://www.sussexcountyhabitat.org/restore,(302) 855-1156
HFH of Worcester Co. Inc. ReStore,9026 Worcester Hwy,Berlin,US-MD,21811,habitatworcester.org/restore,(410) 208-4440
"Choptank, Inc.,HFH ReStore",8610 Commerce Dr,Easton,US-MD,21601,www.habitatchoptank.org/restore-2-2,(410) 820-6186
HFH Cape May County ReStore,Restore,Cape May Court House,US-NJ,08210,www.habitatcapemaycounty.org,(609) 465-1626
"Broward ReStore, HFH of",505 W Broward Blvd,Fort Lauderdale,US-FL,33312,www.habitatbroward.org/restore,(954) 763-7771
"South Palm Beach Co ReStore- Boca Raton, HFH of",272 S Dixie Highway,Boca Raton,US-FL,33432,www.habitatsouthpalmbeach.org,(561) 362-7284
"South Palm Beach County ReStore - Delray, HFH of",1900 N. Federal Highway,Delray Beach,US-FL,33483,bocadelrayboynton.habitatrestores.org,(561) 455-4441
"Upper Keys ReStore, HFH of the",98970 Overseas Highway,Key Largo,US-FL,33037,habitatupperkeys.org,(305) 453-7855
"Palm Beach Co ReStore- Greenacres, HFH of",4639 Lake Worth Rd,Greenacres,US-FL,33463,www.habitatpbc.org/stores,(561) 202-1630
"Palm Beach Co ReStore- Jupiter, HFH of",1635 N Old Dixie Highway,Jupiter,US-FL,33469,www.habitatpbc.org/stores,(561) 401-4087
Habitat Home Store of Collier County,11127 Tamiami Trl E,Naples,US-FL,34113,www.habitatstores.org,(239) 732-1672
"Martin County ReStore, HFH of",2555 SE Bonita St,Stuart,US-FL,34997,www.habitatmartin.org,(772) 223-8991
Habitat ReStore of Collier County,5430 Yahl St,Naples,US-FL,34109,www.habitatstores.org,(239) 260-5256
"Martin County ReStore North, HFH of",2090 NW Federal Hwy,Stuart,US-FL,34994,www.habitatmartin.org,(772) 223-8991
Alachua HFH ReStore,2317 SW 13th St,Gainesville,US-FL,32608-2006,www.alachuahabitat.org/restore,(352) 373-5728
Clay County HFH ReStore,1717 Blanding Blvd,Middleburg,US-FL,32068,www.clayhabitat.org,(904) 282-7590
"Seminole/ Apopka ReStore- Sanford, HFH of",1100 Americana Blvd,Sanford,US-FL,32773-8027,www.HabitatSeminoleApopka.org,(407) 215-2000
West Orange HFH ReStore,13369 W. Colonial Drive,Winter Garden,US-FL,34787,www.westorangehabitat.org/restore,(407) 905-0406
West Volusia HFH ReStore,604 S Sping Gdn Ave,DeLand,US-FL,32720,www.wvhabitat.org/contact,(386) 734-7268
Southeast Volusia HFH ReStore- New Smyrna Beach,722 S Dixie Fwy,New Smyrna Beach,US-FL,32168,www.habitatsev.org/restore,(386) 428-5010
Lake-Sumter FL ReStore-Eustis; HFH,710 S. Bay St.,Eustis,US-FL,32726,www.habitatls.org,(352) 483-0410
Lake-Sumter FL ReStore-Groveland; HFH,205 Woodfield Court,Groveland,US-FL,34736,www.habitatls.org,(352) 429-9052
Halifax HFH ReStore,695 Mason Ave,Daytona Beach,US-FL,32114,www.habitatgvc.org/restore,(386) 226-2006
Lake-Sumter FL ReStore-Leesburg; HFH,200 N Lone Oak Dr,Leesburg,US-FL,34748,www.habitatls.org,(352) 728-6366
HFH of East Polk Co ReStore - Dundee,27985 US Hwy 27,Dundee,US-FL,33838,habitateastpolk.org/restore,(863) 353-5967
Lake-Sumter FL ReStore-Wildwood; HFH,6761 CR 148,Wildwood,US-FL,34785,www.habitatls.org,(352) 330-0881
Flagler HFH ReStore,2 W Moody Blvd,Bunnell,US-FL,32110,www.flaglerhabitat.com,(386) 437-9855
Big Bend HFH ReStore,387-C Marpan Ln,Tallahassee,US-FL,32310,bigbendhabitat.org,(850) 544-6438
"East Polk Co ReStore, HFH of",3550 Recker Highway,Winter Haven,US-FL,33880,www.habitateastpolk.org,(863) 292-2256
Lakeland HFH ReStore,1317 George Jenkins Blvd.,Lakeland,US-FL,33815,www.habitatoflakeland.org,(863) 688-4660
"Lee & Hendry Co ReStore- N. Fort Myers, HFH of",31 Willis Road,North Fort Myers,US-FL,33903,restorelee.org,(239) 652-1699
"Lee & Hendry Co. ReStore- S. Fort Myers, HFH of",16133 S Tamiami Trail,Fort Myers,US-FL,33908,restorelee.org,(239) 652-1660
"Lee & Hendry Co ReStore- McGregor Blvd, HFH of",15271 McGregor Blvd,Fort Myers,US-FL,33908,restorelee.org,(239) 202-8483
"Lee & Hendry Co ReStore- Bonita Springs, HFH of",9080 Bonita Beach Road,Bonita Springs,US-FL,34135,restorelee.org,(239) 949-4409
Charlotte County HFH ReSale Store- Punta Gorda,1750 Manzana Ave,Punta Gorda,US-FL,33950,www.charlottecountyhfh.org/resalestores.html,(941) 205-7467
Charlotte County HFH ReSale Store- Murdock,2440 Tamiami Trail,Port Charlotte,US-FL,33952,charlottecountyhfh.org/store,(941) 391-6562
Arcadia-DeSoto County HFH ReStore,114 N Polk Ave,Arcadia,US-FL,34266,www.desotohabitat.com,(863) 494-6456
Charlotte County HFH ReSale Store- Port Charlotte,1354 El Jobean Rd,Port Charlotte,US-FL,33948,www.charlottecountyhfh.org/resalestores.html,(941) 206-2606
